goos: windows
goarch: amd64
pkg: github.com/sumit/rtmds/internal/aggregation
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkEngineProcessTick-8   	 1000000	      1371 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	  726052	      1462 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	  999357	      1492 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	  808455	      1573 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	  833298	      1615 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	 1000000	      1601 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	 1000000	      1395 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	  880513	      1366 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	 1000000	      1375 ns/op	       0 B/op	       0 allocs/op
BenchmarkEngineProcessTick-8   	  826939	      1800 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/sumit/rtmds/internal/aggregation	20.343s
goos: windows
goarch: amd64
pkg: github.com/sumit/rtmds/internal/backpressure
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkRing_Push-8                       	 7627677	       135.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 9993912	       138.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 8637094	       185.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 8912350	       156.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 6800430	       153.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 6958065	       167.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 6884732	       167.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 7351174	       149.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 8194885	       138.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Push-8                       	 8003761	       145.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	10827314	       143.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	 8911437	       167.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	12138290	       174.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	10485376	       180.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	10441773	       142.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	10940594	       126.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	 9951262	       155.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	 9972417	       180.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	 9174367	       155.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushNoDrop-8                 	11073829	       157.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 8674737	       132.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 9389288	       165.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 7260230	       139.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 8699617	       140.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 7342462	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 8561948	       138.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 8827851	       130.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 9543024	       128.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 9577167	       132.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushDrop-8                   	 9244344	       150.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	18131982	        71.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	20806710	        80.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	15705592	        73.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	17241849	        67.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	15621927	        70.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	17635051	        75.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	21299216	        82.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	14539653	        74.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	13916318	        79.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_Pop-8                        	13011331	        82.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 6146334	       187.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 6329775	       167.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 5820322	       184.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 5606803	       208.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 5881617	       178.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 6898473	       203.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 4902244	       207.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 6776815	       180.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 5267900	       200.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRing_PushPop-8                    	 6435712	       196.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2250328	       642.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2606265	       503.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2444640	       429.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2552641	       473.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2520031	       461.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2660290	       479.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2438202	       463.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Push-8         	 2304784	       469.5 ns/op	       0 B/op	       0 allocs/op
